participant,name,roll,email,exp_type_1,exp_type_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.0db2cb69-04bb-4fac-9d6c-cc3356c615b7.txt,10028,6895,14694,"","",2480,2020-04-18-14-17,2020-04-18-14-26,9
s.980222f1-0eea-409f-aa6e-c6f4a870fd41.txt,4362,8026,5698,"","",18750,2020-04-18-11-16,"",""
s.17ec5da8-b998-43e2-a090-873a34eed1ae.txt,10223,6595,19130,"","",3654,2020-04-18-08-00,2020-04-18-08-09,9
s.bec2b043-ae44-4aed-96d3-2c0549d8204c.txt,"","","","","",261147,"",2020-04-16-18-20,""
s.e93accf3-e9fc-4ae5-8c00-c74dd767b822.txt,1694,1762,779,"","",2971,2020-04-17-06-06,"",""
s.753b1504-ef93-446f-934f-ebe5be203681.txt,10394,15085,28528,"","",57259,2020-04-16-19-14,"",""
s.859151c1-967f-4ad2-aee5-b5b00113a282.txt,3318,3125,2747,"","",2519,2020-04-19-13-18,"",""
s.ddb83c99-ec2d-43d7-beb5-8a0da9376dc3.txt,8482,5364,13228,"","",2909545,2020-04-17-19-57,2020-04-17-20-06,9
s.4f42ddd5-c594-4b7e-8392-2d847a9bd25e.txt,8550,5417,8998,"","",28924,2020-04-16-19-10,2020-04-16-19-19,9
s.5fd8b001-179b-4147-8817-25995cbf262f.txt,25490,15505,18956,"","",9654,2020-04-17-16-08,2020-04-17-16-18,10
s.20d089de-1861-43d3-8b0c-d90e57888a91.txt,137398,5580,11961,"","",5662,2020-04-16-18-36,2020-04-16-18-49,13
s.09b76650-8fe8-4105-b21a-035e50250ce8.txt,15670,4881,12148,"","",13537,2020-04-17-18-58,"",""
s.4d7e81e9-db9d-4292-abde-2cb98b0c1f4a.txt,10070,2603,5727,"","",1054654,2020-04-18-17-29,2020-04-18-19-34,125
s.ab015b33-ce62-4afa-a540-a3ff25dcd6d0.txt,4122,4820,6906,"","",6312,2020-04-18-21-26,2020-04-18-21-36,10
s.d340c45a-b130-4e57-ae8e-08f9119c957f.txt,"","","","","",24026,2020-04-16-18-37,"",""
s.02d73d71-cb08-487f-84e9-f04711881ae2.txt,"","","","","",140713,2020-04-16-18-39,"",""
s.aaf361b7-7920-46e5-aaa6-fd6f2fc51671.txt,6188,7608,8735,"","",14384,2020-04-17-15-05,2020-04-17-15-14,9
